scientific_name,common_name,family,subfamily,tribe,genus,specific_epithet,BM_kg,percent_grass,diet_category,habitat,ref,max_BM_kg_animaldiversity,max_BM_kg_castello,HL_male_cm,HL_female_cm,BM_Lemaitre_etal,male_antler_weight_g,max_BM,interspecific_GM,intraspecific_GM,animaldiversity
Redunca_fulvorufula,mountain reedbuck,Bovidae,Reduncinae,Reduncini,Redunca,fulvorufula,29.4999,99,GR,Open,Scott (1985),30,37,22,,,,37,,,https://animaldiversity.org/accounts/Redunca_fulvorufula/
Redunca_redunca,Bohar reedbuck,Bovidae,Reduncinae,Reduncini,Redunca,redunca,44.0504,95,GR,Open,Crile and Quiring (1940),55,65,25,,,,65,,,https://animaldiversity.org/accounts/Redunca_redunca/
Redunca_arundinum,southern reedbuck,Bovidae,Reduncinae,Reduncini,Redunca,arundinum,58.0003,95,GR,Mixed,Mendoza et al (2006),80,95,45,,,,95,,,https://animaldiversity.org/accounts/Redunca_arundinum/
Kobus_vardonii,puku,Bovidae,Reduncinae,Reduncini,Kobus,vardonii,71.5007,93,GR,Open,Mendoza et al (2006),92,91,53,,,,92,,,https://animaldiversity.org/accounts/Kobus_vardonii/
Kobus_kob,kob,Bovidae,Reduncinae,Reduncini,Kobus,kob,78.5001,95,GR,Open,Mendoza et al (2006),120,60,65,,,,120,,,https://animaldiversity.org/accounts/Kobus_kob/
Kobus_ellipsiprymnus,waterbuck,Bovidae,Reduncinae,Reduncini,Kobus,ellipsiprymnus,210.0003,84,GR,Open,Scott (1985),300,275,92,,,,300,,,https://animaldiversity.org/accounts/Kobus_ellipsiprymnus/
Kobus_megaceros,Nile lechwe,Bovidae,Reduncinae,Reduncini,Kobus,megaceros,87.5004,95,GR,Open,Heywood (2010),120,120,87,,,,120,,,https://animaldiversity.org/accounts/Kobus_megaceros/
Kobus_leche,lechwe,Bovidae,Reduncinae,Reduncini,Kobus,leche,110.749,95,GR,Open,Schiviz et al (2008),128,135,66,,,,135,,,https://animaldiversity.org/accounts/Kobus_leche/
Aepyceros_melampus,impala,Bovidae,Aepycerotinae,Aepycerotini,Aepyceros,melampus,52.5001,60,IM,Mixed,Crile and Quiring (1940),60,80,92,,,,80,,,https://animaldiversity.org/accounts/Aepyceros_melampus/
Neotragus_moschatus,suni,Bovidae,Neotraginae,Neotragini,Nesotragus,moschatus,6.4999,6,BR,Mixed,Mendoza et al (2006),6,4.5,13.3,,,,6.4999,,,https://animaldiversity.org/accounts/Neotragus_moschatus/
Neotragus_batesi,dwarf antelope,Bovidae,Neotraginae,Neotragini,Neotragus,batesi,3,5,BR,Closed,Fraser and Theodor (2011),3,3,5.5,,,,3,,,https://animaldiversity.org/accounts/Neotragus_batesi/
Axis_calamianensis,Calamian deer,Cervidae,Cervinae,Cervini,Axis,calamianensis,40.5,,,,Smith et all 2011,,,,,,,40.5,,,https://animaldiversity.org/accounts/Axis_calamianensis/
Rusa_marianna,Philippine deer,Cervidae,Cervinae,Cervini,Rusa,marianna,126.4711,,,,avg of rusa,,,,,,,126.4711,,,https://animaldiversity.org/accounts/Rusa_marianna/
